question_id,section,type,passage_id,discipline,foundational_concept,content_category,scientific_skill,difficulty,keep_revise_replace,notes
mcat1-cp-028,chem-phys,passage,cp-p5,Physics,FC 4,Light and electromagnetic radiation,Skill 1,easy,keep,
mcat1-cp-029,chem-phys,passage,cp-p5,General Chemistry,FC 4,Spectroscopy,Skill 1,medium,keep,
mcat1-cp-030,chem-phys,passage,cp-p5,General Chemistry,FC 4,Spectroscopy,Skill 4,medium,keep,
mcat1-cp-036,chem-phys,passage,cp-p6,General Chemistry,FC 5,Electrochemistry,Skill 2,easy,keep,
mcat1-cp-037,chem-phys,passage,cp-p6,General Chemistry,FC 5,Electrochemistry,Skill 2,hard,keep,
mcat1-cp-038,chem-phys,passage,cp-p6,General Chemistry,FC 5,Electrochemistry,Skill 4,medium,keep,
mcat1-cp-039,chem-phys,passage,cp-p6,General Chemistry,FC 5,Electrochemistry,Skill 2,medium,keep,
mcat1-cp-040,chem-phys,passage,cp-p6,General Chemistry,FC 5,Electrochemistry,Skill 3,hard,keep,
mcat1-cp-041,chem-phys,passage,cp-p7,General Chemistry,FC 5,Acid-base chemistry,Skill 4,easy,keep,
mcat1-cp-042,chem-phys,passage,cp-p7,General Chemistry,FC 5,Acid-base chemistry,Skill 2,medium,keep,
mcat1-cp-043,chem-phys,passage,cp-p7,General Chemistry,FC 5,Acid-base chemistry,Skill 1,medium,keep,
mcat1-cp-044,chem-phys,passage,cp-p7,General Chemistry,FC 5,Acid-base chemistry,Skill 2,hard,keep,
mcat1-cp-045,chem-phys,passage,cp-p7,General Chemistry,FC 5,Acid-base chemistry,Skill 3,hard,keep,
mcat1-cp-046,chem-phys,passage,cp-p8,Biochemistry,FC 1,Enzyme kinetics,Skill 4,medium,keep,
mcat1-cp-047,chem-phys,passage,cp-p8,Biochemistry,FC 1,Enzyme kinetics,Skill 4,hard,keep,
mcat1-cp-048,chem-phys,passage,cp-p8,Biochemistry,FC 1,Enzyme kinetics,Skill 2,medium,keep,
mcat1-cp-049,chem-phys,passage,cp-p8,Biochemistry,FC 1,Enzyme kinetics,Skill 1,medium,keep,
mcat1-cp-050,chem-phys,passage,cp-p8,Biochemistry,FC 1,Enzyme kinetics,Skill 3,hard,keep,
mcat1-cp-016,chem-phys,discrete,,General Chemistry,FC 5,Thermodynamics and thermochemistry,Skill 1,medium,keep,
mcat1-cp-017,chem-phys,discrete,,Organic Chemistry,FC 5,Substitution reactions and mechanisms,Skill 2,medium,keep,
mcat1-cp-018,chem-phys,discrete,,Organic Chemistry,FC 5,Carbonyl chemistry,Skill 1,medium,keep,
mcat1-cp-019,chem-phys,discrete,,Physics,FC 4,Atomic structure and spectra,Skill 1,easy,keep,
mcat1-cp-020,chem-phys,discrete,,General Chemistry,FC 5,Electrochemistry,Skill 1,medium,keep,
mcat1-cp-031,chem-phys,discrete,,General Chemistry,FC 5,Solutions and colligative properties,Skill 2,medium,keep,
mcat1-cp-032,chem-phys,discrete,,Organic Chemistry,FC 5,Stereochemistry and chirality,Skill 2,medium,keep,
mcat1-cp-033,chem-phys,discrete,,Organic Chemistry,FC 5,Electrophilic addition and regioselectivity,Skill 2,medium,keep,
mcat1-cp-034,chem-phys,discrete,,Physics,FC 4,Gas phase and kinetic-molecular theory,Skill 1,easy,keep,
mcat1-cp-035,chem-phys,discrete,,General Chemistry,FC 5,Equilibrium and thermodynamics,Skill 2,medium,keep,
mcat1-cp-051,chem-phys,discrete,,Physics,FC 4,Circuits,Skill 1,medium,keep,
mcat1-cp-052,chem-phys,discrete,,Physics,FC 4,Fluid dynamics,Skill 1,medium,keep,
mcat1-cp-053,chem-phys,discrete,,Physics,FC 4,Nuclear physics,Skill 1,easy,keep,
mcat1-cp-054,chem-phys,discrete,,Organic Chemistry,FC 5,Infrared spectroscopy and structure determination,Skill 4,medium,keep,
mcat1-cp-055,chem-phys,discrete,,Physics,FC 4,Light and optics,Skill 1,medium,keep,
mcat1-cp-056,chem-phys,discrete,,Biochemistry,FC 1,Amino acid chemistry,Skill 1,medium,keep,
mcat1-cp-057,chem-phys,discrete,,Biochemistry,FC 1,Laboratory techniques,Skill 2,medium,keep,
mcat1-cp-058,chem-phys,discrete,,Physics,FC 4,Sound and waves,Skill 1,medium,keep,
mcat1-cp-059,chem-phys,discrete,,Organic Chemistry,FC 5,Nucleophilic addition to carbonyls,Skill 2,medium,keep,
mcat1-cars-001,cars,passage,cars-p1,CARS,FC 6,Foundations of Comprehension,Skill 1,easy,keep,
mcat1-cars-002,cars,passage,cars-p1,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-003,cars,passage,cars-p1,CARS,FC 6,Reasoning Beyond the Text,Skill 2,hard,keep,
mcat1-cars-004,cars,passage,cars-p1,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-005,cars,passage,cars-p1,CARS,FC 6,Foundations of Comprehension,Skill 1,medium,keep,
mcat1-cars-006,cars,passage,cars-p2,CARS,FC 6,Foundations of Comprehension,Skill 1,medium,keep,
mcat1-cars-007,cars,passage,cars-p2,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-008,cars,passage,cars-p2,CARS,FC 6,Reasoning Beyond the Text,Skill 2,hard,keep,
mcat1-cars-009,cars,passage,cars-p2,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-010,cars,passage,cars-p2,CARS,FC 6,Foundations of Comprehension,Skill 1,easy,keep,
mcat1-cars-011,cars,passage,cars-p3,CARS,FC 6,Foundations of Comprehension,Skill 1,easy,keep,
mcat1-cars-012,cars,passage,cars-p3,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-013,cars,passage,cars-p3,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-014,cars,passage,cars-p3,CARS,FC 6,Reasoning Beyond the Text,Skill 2,hard,keep,
mcat1-cars-015,cars,passage,cars-p3,CARS,FC 6,Foundations of Comprehension,Skill 1,easy,keep,
mcat1-cars-016,cars,passage,cars-p4,CARS,FC 6,Foundations of Comprehension,Skill 1,easy,keep,
mcat1-cars-017,cars,passage,cars-p4,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-018,cars,passage,cars-p4,CARS,FC 6,Reasoning Beyond the Text,Skill 2,hard,keep,
mcat1-cars-019,cars,passage,cars-p4,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-020,cars,passage,cars-p4,CARS,FC 6,Foundations of Comprehension,Skill 1,medium,keep,
mcat1-cars-021,cars,passage,cars-p5,CARS,FC 6,Foundations of Comprehension,Skill 1,medium,keep,
mcat1-cars-022,cars,passage,cars-p5,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-023,cars,passage,cars-p5,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-024,cars,passage,cars-p5,CARS,FC 6,Reasoning Within the Text,Skill 2,hard,keep,
mcat1-cars-025,cars,passage,cars-p5,CARS,FC 6,Reasoning Beyond the Text,Skill 2,medium,keep,
mcat1-cars-026,cars,passage,cars-p6,CARS,FC 6,Foundations of Comprehension,Skill 1,medium,keep,
mcat1-cars-027,cars,passage,cars-p6,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-028,cars,passage,cars-p6,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-029,cars,passage,cars-p6,CARS,FC 6,Reasoning Beyond the Text,Skill 2,medium,keep,
mcat1-cars-030,cars,passage,cars-p6,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-031,cars,passage,cars-p7,CARS,FC 6,Foundations of Comprehension,Skill 1,easy,keep,
mcat1-cars-032,cars,passage,cars-p7,CARS,FC 6,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-033,cars,passage,cars-p7,CARS,FC 6,Reasoning Beyond the Text,Skill 2,medium,keep,
mcat1-cars-034,cars,passage,cars-p7,CARS,FC 6,Reasoning Within the Text,Skill 2,hard,keep,
mcat1-cars-035,cars,passage,cars-p7,CARS,FC 6,Reasoning Beyond the Text,Skill 2,hard,keep,
mcat1-cars-036,cars,passage,cars-p8,CARS,FC 6,Foundations of Comprehension,Skill 1,medium,keep,
mcat1-cars-037,cars,passage,cars-p8,CARS,FC 6,Foundations of Comprehension,Skill 1,easy,keep,
mcat1-cars-038,cars,passage,cars-p8,CARS,FC 7,Reasoning Within the Text,Skill 2,hard,keep,
mcat1-cars-039,cars,passage,cars-p8,CARS,FC 7,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-040,cars,passage,cars-p8,CARS,FC 8,Reasoning Beyond the Text,Skill 3,hard,keep,
mcat1-cars-041,cars,passage,cars-p8,CARS,FC 8,Reasoning Beyond the Text,Skill 3,hard,keep,
mcat1-cars-042,cars,passage,cars-p9,CARS,FC 6,Foundations of Comprehension,Skill 1,medium,keep,
mcat1-cars-043,cars,passage,cars-p9,CARS,FC 6,Foundations of Comprehension,Skill 1,easy,keep,
mcat1-cars-044,cars,passage,cars-p9,CARS,FC 7,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-045,cars,passage,cars-p9,CARS,FC 7,Reasoning Within the Text,Skill 2,hard,keep,
mcat1-cars-046,cars,passage,cars-p9,CARS,FC 8,Reasoning Beyond the Text,Skill 3,medium,keep,
mcat1-cars-047,cars,passage,cars-p9,CARS,FC 8,Reasoning Beyond the Text,Skill 3,hard,keep,
mcat1-cars-048,cars,passage,cars-p10,CARS,FC 6,Foundations of Comprehension,Skill 1,medium,keep,
mcat1-cars-049,cars,passage,cars-p10,CARS,FC 7,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-cars-050,cars,passage,cars-p10,CARS,FC 7,Reasoning Within the Text,Skill 2,hard,keep,
mcat1-cars-051,cars,passage,cars-p10,CARS,FC 8,Reasoning Beyond the Text,Skill 3,medium,keep,
mcat1-cars-052,cars,passage,cars-p10,CARS,FC 8,Reasoning Beyond the Text,Skill 3,hard,keep,
mcat1-cars-053,cars,passage,cars-p10,CARS,FC 7,Reasoning Within the Text,Skill 2,medium,keep,
mcat1-bb-001,bio-biochem,passage,bb-p1,Biology,FC 1,DNA replication and repair,Skill 4,medium,keep,
mcat1-bb-002,bio-biochem,passage,bb-p1,Biology,FC 1,DNA replication and repair,Skill 1,medium,keep,
mcat1-bb-003,bio-biochem,passage,bb-p1,Biology,FC 1,DNA replication and repair,Skill 3,hard,keep,
mcat1-bb-004,bio-biochem,passage,bb-p1,Biology,FC 1,DNA damage and cancer,Skill 2,medium,keep,
mcat1-bb-005,bio-biochem,passage,bb-p1,Biology,FC 1,DNA replication and repair,Skill 2,hard,keep,
mcat1-bb-006,bio-biochem,passage,bb-p2,Biology,FC 2,Cell signaling,Skill 2,hard,keep,
mcat1-bb-007,bio-biochem,passage,bb-p2,Biology,FC 2,Cell signaling,Skill 1,medium,keep,
mcat1-bb-008,bio-biochem,passage,bb-p2,Biology,FC 2,Cell signaling,Skill 2,medium,keep,
mcat1-bb-009,bio-biochem,passage,bb-p2,Biology,FC 2,Cell signaling,Skill 1,easy,keep,
mcat1-bb-010,bio-biochem,passage,bb-p2,Biology,FC 2,Cell signaling,Skill 3,hard,keep,
mcat1-bb-011,bio-biochem,passage,bb-p3,Biology,FC 3,Renal physiology,Skill 1,easy,keep,
mcat1-bb-012,bio-biochem,passage,bb-p3,Biology,FC 3,Renal physiology,Skill 4,medium,keep,
mcat1-bb-013,bio-biochem,passage,bb-p3,Biology,FC 3,Renal physiology,Skill 1,medium,keep,
mcat1-bb-014,bio-biochem,passage,bb-p3,Biology,FC 3,Renal physiology,Skill 2,medium,keep,
mcat1-bb-015,bio-biochem,passage,bb-p3,Biology,FC 3,Renal physiology,Skill 2,easy,keep,
mcat1-bb-021,bio-biochem,passage,bb-p4,Biochemistry,FC 1,Structure and function of proteins,Skill 4,medium,keep,
mcat1-bb-022,bio-biochem,passage,bb-p4,Biochemistry,FC 1,Structure and function of proteins,Skill 2,medium,keep,
mcat1-bb-023,bio-biochem,passage,bb-p4,Biochemistry,FC 1,Structure and function of proteins,Skill 1,medium,keep,
mcat1-bb-024,bio-biochem,passage,bb-p4,Biochemistry,FC 1,Structure and function of proteins,Skill 3,hard,keep,
mcat1-bb-025,bio-biochem,passage,bb-p4,Biochemistry,FC 1,Structure and function of proteins,Skill 4,medium,keep,
mcat1-bb-026,bio-biochem,passage,bb-p5,Biology,FC 1,Cell cycle and apoptosis,Skill 4,medium,keep,
mcat1-bb-027,bio-biochem,passage,bb-p5,Biology,FC 1,Cell cycle and apoptosis,Skill 2,medium,keep,
mcat1-bb-028,bio-biochem,passage,bb-p5,Biology,FC 1,Cell cycle and apoptosis,Skill 1,hard,keep,
mcat1-bb-029,bio-biochem,passage,bb-p5,Biology,FC 1,Cell cycle and apoptosis,Skill 3,hard,keep,
mcat1-bb-030,bio-biochem,passage,bb-p5,Biology,FC 1,Cell cycle and apoptosis,Skill 2,medium,keep,
mcat1-bb-036,bio-biochem,passage,bb-p6,Biochemistry,FC 1,Metabolic pathways,Skill 1,medium,keep,
mcat1-bb-037,bio-biochem,passage,bb-p6,Biochemistry,FC 1,Metabolic pathways,Skill 4,medium,keep,
mcat1-bb-038,bio-biochem,passage,bb-p6,Biochemistry,FC 1,Metabolic pathways,Skill 2,hard,keep,
mcat1-bb-039,bio-biochem,passage,bb-p6,Biochemistry,FC 1,Metabolic pathways,Skill 3,hard,keep,
mcat1-bb-040,bio-biochem,passage,bb-p6,Biochemistry,FC 1,Metabolic pathways,Skill 2,medium,keep,
mcat1-bb-041,bio-biochem,passage,bb-p7,Biology,FC 2,Membrane transport,Skill 1,easy,keep,
mcat1-bb-042,bio-biochem,passage,bb-p7,Biology,FC 2,Membrane transport,Skill 2,medium,keep,
mcat1-bb-043,bio-biochem,passage,bb-p7,Biology,FC 2,Membrane transport,Skill 2,hard,keep,
mcat1-bb-044,bio-biochem,passage,bb-p7,Biology,FC 2,Membrane transport,Skill 4,medium,keep,
mcat1-bb-045,bio-biochem,passage,bb-p7,Biology,FC 2,Membrane transport,Skill 3,hard,keep,
mcat1-bb-046,bio-biochem,passage,bb-p8,Biology,FC 3,Immunology,Skill 1,medium,keep,
mcat1-bb-047,bio-biochem,passage,bb-p8,Biology,FC 3,Immunology,Skill 2,medium,keep,
mcat1-bb-048,bio-biochem,passage,bb-p8,Biology,FC 3,Immunology,Skill 2,hard,keep,
mcat1-bb-049,bio-biochem,passage,bb-p8,Biology,FC 3,Immunology,Skill 4,hard,keep,
mcat1-bb-050,bio-biochem,passage,bb-p8,Biology,FC 3,Immunology,Skill 3,hard,keep,
mcat1-bb-016,bio-biochem,discrete,,Biology,FC 2,Genetics,Skill 1,medium,keep,
mcat1-bb-017,bio-biochem,discrete,,Organic Chemistry,FC 1,Amino acid structure and functional groups,Skill 1,medium,keep,
mcat1-bb-018,bio-biochem,discrete,,General Chemistry,FC 3,Acid-base equilibria and buffer systems,Skill 4,medium,keep,
mcat1-bb-019,bio-biochem,discrete,,Biology,FC 3,Nervous system,Skill 1,medium,keep,
mcat1-bb-020,bio-biochem,discrete,,Organic Chemistry,FC 1,Carbohydrate structure and stereochemistry,Skill 1,medium,keep,
mcat1-bb-031,bio-biochem,discrete,,Biochemistry,FC 1,Amino acid structure and biochemistry,Skill 1,medium,keep,
mcat1-bb-032,bio-biochem,discrete,,Biochemistry,FC 1,Enzyme kinetics and regulation,Skill 2,medium,keep,
mcat1-bb-033,bio-biochem,discrete,,General Chemistry,FC 1,Electrochemistry and reduction potentials,Skill 2,medium,keep,
mcat1-bb-034,bio-biochem,discrete,,Organic Chemistry,FC 1,Lipid structure and membrane fluidity,Skill 2,medium,keep,
mcat1-bb-035,bio-biochem,discrete,,Biology,FC 3,Endocrine signaling,Skill 1,medium,keep,
mcat1-bb-051,bio-biochem,discrete,,General Chemistry,FC 2,Solution chemistry and osmolarity,Skill 2,medium,keep,
mcat1-bb-052,bio-biochem,discrete,,Biochemistry,FC 1,Nucleic acid structure,Skill 2,medium,keep,
mcat1-bb-053,bio-biochem,discrete,,Biology,FC 3,Genetics,Skill 2,hard,keep,
mcat1-bb-054,bio-biochem,discrete,,Biochemistry,FC 1,Protein structure,Skill 2,medium,keep,
mcat1-bb-055,bio-biochem,discrete,,Biology,FC 3,Nervous system,Skill 1,medium,keep,
mcat1-bb-056,bio-biochem,discrete,,Biochemistry,FC 1,Metabolism,Skill 2,hard,keep,
mcat1-bb-057,bio-biochem,discrete,,Biology,FC 3,Endocrine system,Skill 2,medium,keep,
mcat1-bb-058,bio-biochem,discrete,,Biochemistry,FC 1,DNA replication,Skill 2,medium,keep,
mcat1-bb-059,bio-biochem,discrete,,Biology,FC 3,Digestive system,Skill 2,medium,keep,
mcat1-ps-001,psych-soc,passage,ps-p1,Psychology,FC 7,Learning and conditioning,Skill 1,medium,keep,
mcat1-ps-002,psych-soc,passage,ps-p1,Psychology,FC 7,Learning and conditioning,Skill 1,medium,keep,
mcat1-ps-003,psych-soc,passage,ps-p1,Psychology,FC 7,Learning and conditioning,Skill 2,medium,keep,
mcat1-ps-004,psych-soc,passage,ps-p1,Psychology,FC 7,Learning and conditioning,Skill 3,hard,keep,
mcat1-ps-005,psych-soc,passage,ps-p1,Psychology,FC 7,Learning and conditioning,Skill 2,medium,keep,
mcat1-ps-006,psych-soc,passage,ps-p2,Sociology,FC 9,Social stratification,Skill 1,easy,keep,
mcat1-ps-007,psych-soc,passage,ps-p2,Sociology,FC 9,Social stratification,Skill 2,medium,keep,
mcat1-ps-008,psych-soc,passage,ps-p2,Sociology,FC 9,Social stratification,Skill 4,medium,keep,
mcat1-ps-009,psych-soc,passage,ps-p2,Sociology,FC 9,Social stratification,Skill 2,hard,keep,
mcat1-ps-010,psych-soc,passage,ps-p2,Sociology,FC 9,Social stratification,Skill 2,medium,keep,
mcat1-ps-011,psych-soc,passage,ps-p3,Psychology,FC 8,Social psychology,Skill 4,medium,keep,
mcat1-ps-012,psych-soc,passage,ps-p3,Psychology,FC 8,Social psychology,Skill 1,easy,keep,
mcat1-ps-013,psych-soc,passage,ps-p3,Psychology,FC 8,Social psychology,Skill 3,hard,keep,
mcat1-ps-014,psych-soc,passage,ps-p3,Psychology,FC 8,Social psychology,Skill 2,medium,keep,
mcat1-ps-015,psych-soc,passage,ps-p3,Psychology,FC 8,Social psychology,Skill 2,medium,keep,
mcat1-ps-021,psych-soc,passage,ps-p4,Psychology,FC 7,Memory and cognition,Skill 4,easy,keep,
mcat1-ps-022,psych-soc,passage,ps-p4,Psychology,FC 7,Memory and cognition,Skill 2,medium,keep,
mcat1-ps-023,psych-soc,passage,ps-p4,Psychology,FC 7,Memory and cognition,Skill 2,medium,keep,
mcat1-ps-024,psych-soc,passage,ps-p4,Psychology,FC 7,Memory and cognition,Skill 2,medium,keep,
mcat1-ps-025,psych-soc,passage,ps-p4,Psychology,FC 7,Memory and cognition,Skill 3,hard,keep,
mcat1-ps-026,psych-soc,passage,ps-p5,Sociology,FC 9,Social determinants of health,Skill 4,medium,keep,
mcat1-ps-027,psych-soc,passage,ps-p5,Sociology,FC 9,Social determinants of health,Skill 2,medium,keep,
mcat1-ps-028,psych-soc,passage,ps-p5,Sociology,FC 9,Social determinants of health,Skill 1,medium,keep,
mcat1-ps-029,psych-soc,passage,ps-p5,Sociology,FC 9,Social determinants of health,Skill 3,hard,keep,
mcat1-ps-030,psych-soc,passage,ps-p5,Sociology,FC 9,Social determinants of health,Skill 1,easy,keep,
mcat1-ps-036,psych-soc,passage,ps-p6,Psychology,FC 8,Social psychology,Skill 4,medium,keep,
mcat1-ps-038,psych-soc,passage,ps-p6,Psychology,FC 8,Social psychology,Skill 2,medium,keep,
mcat1-ps-039,psych-soc,passage,ps-p6,Psychology,FC 8,Social psychology,Skill 3,hard,keep,
mcat1-ps-040,psych-soc,passage,ps-p6,Psychology,FC 8,Social psychology,Skill 2,hard,keep,
mcat1-ps-041,psych-soc,passage,ps-p6,Psychology,FC 8,Social psychology,Skill 4,medium,keep,
mcat1-ps-042,psych-soc,passage,ps-p7,Sociology,FC 8,Social interaction,Skill 1,easy,keep,
mcat1-ps-043,psych-soc,passage,ps-p7,Sociology,FC 8,Social interaction,Skill 4,medium,keep,
mcat1-ps-044,psych-soc,passage,ps-p7,Sociology,FC 8,Social interaction,Skill 2,medium,keep,
mcat1-ps-045,psych-soc,passage,ps-p7,Sociology,FC 8,Social interaction,Skill 3,hard,keep,
mcat1-ps-046,psych-soc,passage,ps-p7,Sociology,FC 8,Social interaction,Skill 2,hard,keep,
mcat1-ps-047,psych-soc,passage,ps-p8,Psychology,FC 8,Attitude change,Skill 4,medium,keep,
mcat1-ps-048,psych-soc,passage,ps-p8,Psychology,FC 8,Attitude change,Skill 1,easy,keep,
mcat1-ps-049,psych-soc,passage,ps-p8,Psychology,FC 8,Attitude change,Skill 2,hard,keep,
mcat1-ps-050,psych-soc,passage,ps-p8,Psychology,FC 8,Attitude change,Skill 3,hard,keep,
mcat1-ps-051,psych-soc,passage,ps-p8,Psychology,FC 8,Attitude change,Skill 3,hard,keep,
mcat1-ps-016,psych-soc,discrete,,Psychology,FC 7,Memory,Skill 1,easy,keep,
mcat1-ps-017,psych-soc,discrete,,Psychology,FC 7,Developmental psychology,Skill 1,medium,keep,
mcat1-ps-018,psych-soc,discrete,,Psychology,FC 7,Operant conditioning and reinforcement schedules,Skill 2,medium,keep,
mcat1-ps-019,psych-soc,discrete,,Psychology,FC 8,Research methods,Skill 3,medium,keep,
mcat1-ps-020,psych-soc,discrete,,Biology,FC 7,Biological bases of behavior,Skill 1,medium,keep,
mcat1-ps-031,psych-soc,discrete,,Psychology,FC 8,Social psychology,Skill 2,medium,keep,
mcat1-ps-032,psych-soc,discrete,,Sociology,FC 9,Sociological theories,Skill 2,medium,keep,
mcat1-ps-033,psych-soc,discrete,,Psychology,FC 7,Sleep and biological rhythms,Skill 1,medium,keep,
mcat1-ps-034,psych-soc,discrete,,Psychology,FC 8,Attribution theory and social cognition,Skill 2,medium,keep,
mcat1-ps-035,psych-soc,discrete,,Biology,FC 6,Biological bases of stress response,Skill 1,medium,keep,
mcat1-ps-060,psych-soc,discrete,,Psychology,FC 7,Learning and memory,Skill 1,medium,keep,
mcat1-ps-052,psych-soc,discrete,,Psychology,FC 6,Sensation and perception,Skill 1,medium,keep,
mcat1-ps-053,psych-soc,discrete,,Biology,FC 6,Neurotransmitters and synaptic pharmacology,Skill 2,medium,keep,
mcat1-ps-054,psych-soc,discrete,,Psychology,FC 7,Development,Skill 2,medium,keep,
mcat1-ps-055,psych-soc,discrete,,Sociology,FC 9,Social networks,Skill 2,hard,keep,
mcat1-ps-056,psych-soc,discrete,,Psychology,FC 6,Biological bases of behavior,Skill 1,medium,keep,
mcat1-ps-057,psych-soc,discrete,,Sociology,FC 10,Social norms,Skill 2,medium,keep,
mcat1-ps-058,psych-soc,discrete,,Psychology,FC 7,Motivation and emotion,Skill 2,medium,keep,
mcat1-ps-059,psych-soc,discrete,,Psychology,FC 7,Stress and coping,Skill 2,hard,keep,
